serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein,vitamin_d,calcium,iron,potassium,item,retail_price,calc_calories
Unknown,1098.0,58.0,315.0,0.0,207.0,1406.0,134.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,2% Milkfat Reduced Fat Milk,3.99,1098.0
Unknown,1050.0,58.0,315.0,0.0,207.0,1155.0,124.0,0.0,12.0,8.0,0.0,0.0,0.0,33610.0,2% Reduced Fat Milk,3.99,1050.0
0.3 tsp. (0.6g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21 Seasoning Salute,2.99,0.0
1 croissini (40g),140.0,8.0,4.0,0.0,15.0,160.0,15.0,1.0,2.0,2.0,0.0,60.0,1.3,40.0,27 Layer Sesame Croissini,6.99,140.0
0.3 cup (28g),100.0,8.0,5.0,0.0,25.0,170.0,0.5,0.0,0.0,7.0,0.1,200.0,0.1,30.0,"3 Cheese Blend, Shredded",4.29,102.0
1 cup (85g),170.0,6.0,3.0,0.0,30.0,370.0,22.0,4.0,0.5,9.0,0.0,0.0,0.0,230.0,3 Cheese Vegetable Ravioli,5.99,178.0
17 crackers (30g),150.0,8.0,1.0,0.0,0.0,50.0,18.0,0.0,0.5,2.0,0.0,10.0,0.8,110.0,3 Seed Beet Crackers,1.99,152.0
17 crackers (30g),160.0,9.0,1.0,0.0,0.0,35.0,17.0,2.0,2.0,2.0,0.0,30.0,0.6,110.0,3 Seed Sweet Potato Crackers,0.89,157.0
2 waffles (80g),250.0,12.0,1.0,1.0,25.0,300.0,30.0,2.0,3.0,5.0,0.2,10.0,0.7,80.0,4 Authentic Belgian Waffles,2.49,248.0
1 cup (94g),250.0,10.0,3.5,0.0,55.0,620.0,31.0,1.0,5.0,9.0,0.0,78.0,0.7,282.0,4 Cheese Ravioli,2.99,250.0
1 inch cube (28g),120.0,10.0,5.0,0.0,30.0,180.0,0.5,0.0,0.0,7.0,0.4,195.0,0.0,0.0,4 Years Cheddar Cheese,4.99,120.0
0.5 cup (113g),110.0,5.0,3.0,0.0,20.0,320.0,5.0,0.0,3.0,12.0,0.2,100.0,0.0,100.0,4% Milkfat Minimum Small Curd Cottage Cheese,2.99,113.0
1 slice (28g),80.0,0.0,0.0,0.0,0.0,85.0,17.0,3.0,1.0,4.0,0.0,10.0,0.8,80.0,7-Grain Bread,3.99,84.0
