serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein,vitamin_d,calcium,iron,potassium,item,item_title,retail_price
5 pieces (29g),150.0,9.0,4.5,0.0,2.5,15.0,13.0,0.5,11.0,2.0,0.3,30.0,0.9,100.0,Advent of The Cocktail Hour Chocolate Truffle,Just The Lobsters,1.29
1 1-inch cube (28g),120.0,10.0,7.0,0.0,25.0,160.0,0.0,0.0,0.0,7.0,0.0,195.0,0.0,0.0,Aged Sheep's Milk Cheese,Aged Sheep's Milk Cheese Marinated in EVOO,5.99
4 oz. (113g),120.0,0.5,0.0,0.0,45.0,50.0,0.0,0.0,0.0,28.0,2.0,0.0,0.7,470.0,Ahi Tuna Steaks,Sesame Crusted Hardwood Smoked Ahi Tuna,6.99
4 oz raw (113g),80.0,0.0,0.0,0.0,55.0,340.0,0.0,0.0,0.0,17.0,0.6,10.0,0.2,270.0,Alaska Cod Fillets,Branzino Fillets European Sea Bass,9.99
4 oz (113g),150.0,5.0,1.0,0.0,60.0,90.0,0.0,0.0,0.0,25.0,16.0,10.0,0.5,420.0,Alaskan Wild Sockeye Salmon Fillet Portions,Wild Skipjack Tuna,1.79
1 can drained (113g),130.0,1.0,0.0,0.0,40.0,360.0,0.0,0.0,0.0,29.0,1.2,0.0,1.1,282.0,Albacore Tuna,"Solid White Albacore Tuna, No Salt Added",1.99
0.5 cup (116g),190.0,15.0,8.0,0.0,30.0,540.0,9.0,2.0,3.0,4.0,0.0,130.0,1.1,94.0,Alfredo Sauce with Parmigiano Reggiano Cheese,Honey Aleppo Pepper Sauce,3.99
0.3 cup (57g),120.0,11.0,5.0,0.0,30.0,260.0,3.0,0.0,2.0,3.0,0.5,80.0,0.1,70.0,"Alfredo Sauce, Mushroom Medley",TJ's Mushroom & Company Multipurpose Umami Seasoning Blend,2.99
3 cookies (28g),140.0,6.0,4.0,0.0,15.0,60.0,19.0,0.0,8.0,2.0,0.1,0.0,0.0,10.0,All Butter Apple Shortbread Cookies,All Butter Apple Shortbread Cookies,3.49
2 cookies (30g),140.0,6.0,4.0,0.0,20.0,35.0,20.0,0.0,8.0,1.0,0.0,20.0,0.2,40.0,All Butter Shortbread Sandwich Cookies with a Raspberry Filling,All Butter Shortbread Sandwich Cookies with Raspberry Filling,2.99
1 0.5-inch slice (30g),120.0,4.5,2.5,0.0,15.0,70.0,19.0,0.0,9.0,2.0,0.0,0.0,0.4,0.0,All Butter Sugar Cookie Dough,All Butter Sugar Cookie Dough,3.99
4 oz. (112g),170.0,10.0,3.0,0.0,65.0,80.0,0.0,0.0,0.0,19.0,0.0,10.0,1.2,280.0,All Natural Boneless Skinless Chicken Thighs,Chicken Burrito Bowl,3.49
3 balls (28g),70.0,5.0,3.5,0.0,15.0,75.0,0.5,0.0,0.5,5.0,0.0,104.0,0.0,0.0,"All Natural Ciliegine, Whole Milk Fresh Mozzarella in Lightly Salted Water",Chocolate Milk made with Fair Trade Cocoa,3.99
4 oz (112g),150.0,8.0,2.5,0.0,85.0,75.0,0.0,0.0,0.0,19.0,0.4,20.0,1.3,240.0,All Natural Ground Turkey,Ground Turkey,4.49
0.3 cup (29g),180.0,15.0,2.0,0.0,0.0,160.0,6.0,2.0,2.0,6.0,0.0,50.0,1.2,170.0,Almond & Cashews Bagel,Steamed Pork & Ginger Soup Dumplings,3.49
1 cup,60.0,2.5,0.0,0.0,0.0,100.0,9.0,0.5,7.0,0.5,0.0,20.0,0.2,40.0,"Almond Beverage, Blueberry Lavender",Organic Almond Butter,3.99
1 cup,60.0,2.5,0.0,0.0,0.0,100.0,9.0,0.5,7.0,1.0,0.0,20.0,0.5,50.0,"Almond Beverage, Matcha",Almond Ginger Scent Oatmeal Exfoliant Bar,3.99
1 cup,30.0,2.5,0.0,0.0,0.0,190.0,1.0,0.5,0.5,1.0,5.0,390.0,0.4,35.0,"Almond Beverage, Unsweetened Vanilla",Organic Almond Butter,3.99
1 container (156g),340.0,20.0,2.5,0.0,0.0,160.0,33.0,8.0,13.0,12.0,0.0,130.0,2.7,470.0,Almond Butter Chia Overnight Oats,Almond Butter Chia Overnight Oats,2.29
1 bar (35g),160.0,8.0,1.0,0.0,0.0,95.0,19.0,2.0,6.0,4.0,0.0,40.0,1.0,130.0,Almond Butter Cocoa Bars,Chocolate Milk made with Fair Trade Cocoa,3.99
0.7 cup (65g),290.0,12.0,2.0,0.0,0.0,135.0,40.0,5.0,12.0,7.0,0.0,50.0,1.8,220.0,Almond Butter Granola,Gluten Free Ginger Turmeric Granola,3.49
1 cup (40g),200.0,10.0,1.0,0.0,0.0,80.0,20.0,2.0,6.0,6.0,0.0,60.0,1.2,180.0,Almond Butter Puffs Cereal,Almond Butter Puffs Cereal,3.49
2 tbsp,60.0,4.0,0.0,0.0,0.0,90.0,4.0,1.0,2.0,2.0,0.0,20.0,0.4,20.0,Almond Butter Turmeric Salad Dressing,Organic Almond Butter,3.99
2 tbsp (32g),190.0,16.0,1.0,0.0,0.0,0.0,7.0,4.0,1.0,7.0,0.0,78.0,1.1,282.0,"Almond Butter, Raw Creamy Unsalted",Organic Almond Butter,3.99
2 tbsp (32g),190.0,16.0,1.0,0.0,0.0,0.0,7.0,4.0,1.0,7.0,0.0,78.0,1.1,282.0,"Almond Butter, Raw Crunchy No Salt",Crunchy Almond Butter No Salt,5.99
9 pieces (30g),160.0,12.0,4.5,0.0,2.5,10.0,15.0,1.0,12.0,3.0,0.0,50.0,0.8,110.0,Almond Candy Cane Chocolate,Chocolate Milk made with Fair Trade Cocoa,3.99
0.1 pkg dry mix (22g),110.0,7.0,1.5,0.0,0.0,90.0,12.0,1.0,6.0,2.0,0.0,40.0,1.3,110.0,Almond Flour Chocolate Chip Cookie Baking Mix,Organic Almond Butter,3.99
7 cookies (29g),150.0,11.0,3.5,0.0,15.0,130.0,11.0,2.0,8.0,3.0,0.0,10.0,2.7,30.0,Almond Flour Double Chocolate Cookies,Organic Almond Butter,3.99
2 tortillas (50g),180.0,11.0,1.0,0.0,0.0,220.0,18.0,2.0,1.0,5.0,0.0,60.0,1.3,150.0,Almond Flour Tortillas,Flour Tortillas,2.49
1 muffin,260.0,21.0,6.0,0.0,80.0,220.0,33.0,5.0,17.0,9.0,0.4,104.0,1.8,282.0,Almond Meal Muffins,Almond Ginger Scent Oatmeal Exfoliant Bar,3.99
1 ounce (28g),70.0,3.5,0.0,0.0,0.0,160.0,4.0,0.5,0.0,5.0,0.0,186.0,0.0,8.0,"Almond Mozzarella Style Shreds, Cheese Alternative",Organic Almond Butter,3.99
0.5 cup,50.0,1.5,0.0,0.0,0.0,65.0,9.0,0.0,8.0,0.5,1.2,220.0,0.1,20.0,Almond Nog,Organic Almond Butter,3.99
2 cookies (28g),130.0,6.0,2.5,0.0,10.0,90.0,18.0,0.5,7.0,2.0,0.0,0.0,0.6,10.0,Almond Windmill Cookies,Almond Ginger Scent Oatmeal Exfoliant Bar,3.99
0.3 cup (30g),170.0,12.0,4.0,0.0,0.0,125.0,11.0,2.0,8.0,5.0,0.0,80.0,0.7,160.0,"Almonds, Almond Butter",Shea Butter & Coconut Oil Hair Serum,4.99
1 bag (43g),210.0,14.0,1.5,0.0,0.0,65.0,19.0,3.0,12.0,5.0,0.0,40.0,1.4,200.0,"Almonds, Cashews & Cranberries Trek Mix",Chile & Garlic Cashews,3.99
0.3 cup (33g),160.0,9.0,2.0,0.0,0.0,110.0,19.0,2.0,16.0,3.0,0.0,40.0,0.6,120.0,"Almonds, Coconut Flavored",Organic Coconut Aminos Seasoning Sauce,2.99
0.5 package (35g),180.0,13.0,5.0,0.0,0.0,0.0,16.0,3.0,11.0,4.0,0.0,40.0,2.3,170.0,"Almonds, Dark Chocolate Covered",Chocolate Covered Wafer Cookie with Peanut Butter Filling,0.99
1 slice (48g),120.0,0.5,0.0,0.0,0.0,350.0,25.0,1.0,0.5,5.0,0.0,20.0,1.0,50.0,Almost Everything Tuscan Pane,Everything But The Bagel Seasoned Potato Chips,2.99
1 roll (28g),90.0,1.0,0.0,0.0,2.5,110.0,19.0,0.5,5.0,2.0,0.0,0.0,0.8,30.0,"Aloha Rolls, Sweet Pull Apart",Sweet Pull Apart Aloha Rolls,3.49
1 pack (71g),380.0,29.0,10.0,0.0,0.0,120.0,23.0,6.0,14.0,16.0,0.0,100.0,6.7,450.0,"Amped-Up Almonds, Chocolatey Coated Almonds",Amped-Up Almonds,0.01
0.8 cup (51g),220.0,10.0,4.0,0.0,0.0,15.0,29.0,4.0,8.0,5.0,0.0,26.0,1.8,95.0,Ancient Grains & Nuts Granola,Organic Yellow Lentil & Brown Rice Spaghetti,3.49
1 cup (255g),310.0,16.0,5.0,1.0,45.0,760.0,25.0,6.0,5.0,18.0,0.0,78.0,5.4,705.0,"Angus Beef Chili, with Pinto Beans",Chevre with Honey,3.29
1 patty (151g),470.0,39.0,17.0,1.5,95.0,65.0,0.0,0.0,0.0,28.0,0.4,26.0,2.7,376.0,Angus C.B.P. Ground Beef Patties,Angus C.B.P. Ground Beef Patties,9.99
0.3 cup (30g),60.0,5.0,1.0,0.0,0.0,90.0,3.0,2.0,1.0,0.5,3.0,20.0,0.2,150.0,Antipasto Mediterranean Vegetables,Mediterranean Dorade,3.99
